N16-1,,46292.102,32691.043,31.664
N7-1,,46311.139,32684.223,31.692
N16,,432922.590,2562460.438,21.081
N24,,432938.486,2562470.726,21.163
N7,,432941.572,2562453.516,21.071
N24-1,,46307.957,32701.393,31.795
Tree-1,,46303.720,32691.467,31.160
Tree-2,,46302.256,32691.368,31.076
Tree-3,,46302.595,32692.457,31.046
circle1,,46302.409,32696.762,31.227
circle2,,46302.062,32697.918,31.544
circle3,,46301.959,32699.086,31.731
circle4,,46301.455,32702.528,31.748
Left1,,46258.037,32671.747,33.452
Left2,,46261.151,32671.832,33.347
grass1,,46268.722,32672.367,32.955
grass2,,46274.674,32673.095,32.271
grass3,,46279.648,32673.912,31.663
grass4,,46284.199,32674.669,31.659
grass5,,46290.084,32675.433,31.534
grass6,,46296.237,32676.358,31.519
grass7,,46302.333,32676.927,31.610
grass8,,46309.857,32677.738,31.435
grass9,,46319.326,32678.926,31.537
grass10,,46327.799,32680.040,31.869
grass11,,46334.302,32680.714,32.084
grass12,,46345.749,32679.863,32.611
grass13,,46348.063,32689.458,32.721
grass14,,46337.099,32690.041,32.044
grass15,,46329.514,32690.321,31.769
grass16,,46321.832,32690.024,31.601
grass17,,46315.068,32689.345,31.593
grass18,,46291.394,32687.941,31.525
grass19,,46285.069,32689.456,31.575
grass20,,46278.893,32689.414,31.545
grass21,,46274.374,32689.029,32.256
grass22,,46269.555,32688.193,32.977
grass23,,46261.732,32688.363,33.286
Left 3,,46259.312,32687.434,33.415
Left 4,,46256.332,32686.994,33.475
grass24,,46257.810,32702.689,33.441
grass25,,46263.718,32702.164,33.243
grass26,,46276.876,32704.283,31.478
grass27,,46289.072,32704.781,31.582
grass28,,46298.983,32704.753,31.624
grass29,,46308.662,32704.571,31.705
grass30,,46317.973,32704.434,31.749
grass31,,46327.715,32704.360,31.807
grass32,,46338.056,32703.819,32.039
grass33,,46345.856,32703.818,32.328
grass34,,46350.547,32703.229,32.671
grass35,,46351.529,32713.476,32.807
grass36,,46339.202,32713.471,32.151
grass37,,46327.809,32712.712,31.912
grass38,,46320.124,32711.862,31.860
grass39,,46311.347,32710.978,31.768
grass40,,46301.364,32709.312,31.682
grass41,,46293.246,32708.194,31.650
grass42,,46285.438,32706.959,31.608
grass43,,46278.493,32706.266,31.547
grass44,,46274.687,32706.012,31.848
grass45,,46260.858,32725.207,33.371
grass46,,46275.111,32726.035,31.732
grass47,,46283.859,32725.465,31.709
grass48,,46301.202,32724.806,31.922
grass49,,46316.044,32724.884,32.028
grass50,,46332.518,32724.406,32.225
grass51,,46347.803,32723.370,32.519
grass52,,46349.592,32738.475,32.995
grass53,,46331.616,32737.617,32.418
grass54,,46314.475,32737.558,32.338
grass55,,46295.031,32737.743,31.991
grass56,,46285.918,32738.978,31.837
grass57,,46277.471,32740.194,31.783
grass58,,46262.987,32740.294,33.183
grass59,,46262.429,32751.136,33.239
grass60,,46277.367,32750.077,32.067
grass61,,46297.304,32748.693,32.350
grass62,,46313.896,32746.555,32.551
grass63,,46331.744,32742.523,32.658
grass64,,46347.741,32745.797,33.107
grass65,,46351.227,32751.725,33.953
grass66,,46337.837,32754.747,33.535
grass67,,46328.453,32755.837,33.712
grass68,,46319.672,32756.063,33.930
grass69,,46308.339,32756.566,33.801
grass70,,46294.499,32756.612,33.155
grass71,,46278.170,32758.530,33.622
grass72,,46269.406,32758.967,33.636
grass73,,46252.187,32759.134,34.120
gu1,,46253.762,32765.447,34.545
gu2,,46264.185,32764.173,34.909
gu3,,46272.547,32763.324,35.227
gu4,,46294.257,32762.473,35.550
gu5,,46300.877,32762.214,35.543
gu6,,46301.565,32761.321,35.580
gu7,,46302.686,32762.135,35.628
gu8,,46304.501,32762.092,35.552
gu9,,46306.768,32758.341,35.666
gu10,,46327.142,32757.497,35.622
gu11,,46329.662,32761.161,35.687
gu12,,46348.454,32760.499,35.456
gu14,,46353.929,32755.432,34.455
gu15,,46349.419,32763.724,35.633
gu17,,46256.272,32769.161,34.825
gu18,,46255.177,32768.563,34.758
gu19,,46254.612,32767.507,34.604
gu20,,46254.076,32766.364,34.637
Left 5,,46253.750,32765.471,34.469
Left 6,,46253.332,32765.236,34.380
Left 7,,46251.619,32760.026,34.018
Left 8,,46252.076,32754.530,33.775
Left 9,,46261.573,32669.146,33.322
Left 10,,46258.422,32668.835,33.397
Left 11,,46247.277,32766.813,34.478
Left 12,,46248.173,32763.636,34.334
Right 1,,46353.984,32751.228,34.134
Right 2,,46353.947,32746.735,33.896
Right 3,,46353.823,32740.626,33.453
Right 4,,46353.343,32730.483,32.948
Right 5,,46352.516,32720.371,32.815
Right 6,,46351.937,32714.679,33.048
Right 7,,46351.612,32712.527,32.652
Right 8,,46351.157,32708.362,32.786
Right 9,,46350.497,32702.956,32.606
Right 10,,46349.267,32695.531,32.714
Right 11,,46348.002,32688.771,32.636
Right 12,,46346.670,32683.250,32.633
Right 13,,46345.858,32679.764,32.630
Right 14,,46343.757,32671.816,32.585
Right 15,,46342.887,32668.100,32.568
